Structure_ID,Steere_ID,Database_Appearance,Site_Name,Site_Number,State,County,Period,Period_Certainty,Type,Structure,Shape_Class,Long_dimension,Short_dimension,Area_square_m,Functional_Class,Reference
1165,653,2014_03_12,1-Gr-X1,1-Gr-X1,AL,Greene AL,06 MW,,Structure,1,Elliptical,10.10000038,6.099999905,51.20000076,D,Jenkins and Ensor 1981; Steere 2011
1169,654,2014_03_12,1-Pi-61,1-Pi-61,AL,Pickens AL,08 LW/LP,,Structure,1,Rectangular,4.599999905,3.400000095,16.39999962,D,Jenkins and Ensor 1981; Steere 2011
1168,655,2014_03_12,1-Pi-61,1-Pi-61,AL,Pickens AL,08 LW/LP,,Structure,2,Rectangular,2.900000095,2.400000095,7,D,Jenkins and Ensor 1981; Steere 2011
1167,656,2014_03_12,1-Pi-61,1-Pi-61,AL,Pickens AL,08 LW/LP,,Structure,3,Rectangular,4,3,12,D,Jenkins and Ensor 1981; Steere 2011
1166,657,2014_03_12,1-Pi-61,1-Pi-61,AL,Pickens AL,08 LW/LP,,Structure,4,Rectangular,3.099999905,2.200000048,6.900000095,D,Jenkins and Ensor 1981; Steere 2011
1172,547,2014_03_12,9-Ge-1754,9-Ge-1754,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,3.5,2.200000048,7.699999809,D,Ledbetter 2007; Steere 2011
1171,548,2014_03_12,9-Ge-1754,9-Ge-1754,GA,Greene GA,09 EM/Miss,,Structure,2,Rectangular,3,2.200000048,6.599999905,D,Ledbetter 2007; Steere 2011
1176,558,2014_03_12,9-Ge-1760,9-Ge-1760,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,5,2.799999952,14,D,Ledbetter 2007; Steere 2011
1175,559,2014_03_12,9-Ge-1760,9-Ge-1760,GA,Greene GA,09 EM/Miss,,Structure,2,Rectangular,4,2.700000048,10.80000019,D,Ledbetter 2007; Steere 2011
1174,560,2014_03_12,9-Ge-1760,9-Ge-1760,GA,Greene GA,09 EM/Miss,,Structure,3,Elliptical,8.4,8.4,55.13999939,D,Ledbetter 2007; Steere 2011
1173,561,2014_03_12,9-Ge-1760,9-Ge-1760,GA,Greene GA,09 EM/Miss,,Structure,4,Rectangular,4,3.200000048,12.80000019,D,Ledbetter 2007; Steere 2011
1178,562,2014_03_12,9-Ge-1776,9-Ge-1776,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,6.599999905,3.700000048,24.39999962,D,Ledbetter 2007; Steere 2011
1179,563,2014_03_12,9-Ge-1776,9-Ge-1776,GA,Greene GA,09 EM/Miss,,Structure,2,Rectangular,4.400000095,3.200000048,14.10000038,D,Ledbetter 2007; Steere 2011
1177,564,2014_03_12,9-Ge-1776,9-Ge-1776,GA,Greene GA,09 EM/Miss,,Structure,3,Rectangular,5.800000191,4,23.20000076,D,Ledbetter 2007; Steere 2011
1180,565,2014_03_12,9-Ge-1781,9-Ge-1781,GA,Greene GA,09 EM/Miss,,Structure,1,Elliptical,3,3,7.099999905,D,Ledbetter 2007; Steere 2011
1181,566,2014_03_12,9-Ge-1781,9-Ge-1781,GA,Greene GA,09 EM/Miss,,Structure,2,Rectangular,2.599999905,,,D,Ledbetter 2007; Steere 2011
1184,544,2014_03_12,9-Ge-922,9-Ge-222,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,4.800000191,2.5,12,D,Ledbetter 2007; Steere 2011
1182,545,2014_03_12,9-Ge-922,9-Ge-222,GA,Greene GA,09 EM/Miss,,Structure,2,Rectangular,3.200000048,2.400000095,7.699999809,D,Ledbetter 2007; Steere 2011
1183,546,2014_03_12,9-Ge-922,9-Ge-222,GA,Greene GA,09 EM/Miss,,Structure,3,Rectangular,2.8,2.6,7.300000191,D,Ledbetter 2007; Steere 2011
1186,532,2014_03_12,9-Ge-333,9-Ge-333,GA,Greene GA,06 MW,,Structure,1,Elliptical,4,4,12.60000038,D,Ledbetter 2007; Steere 2011
1185,538,2014_03_12,9-Ge-333,9-Ge-333,GA,Greene GA,09 EM/Miss,,Structure,2,Rectangular,,,,D,Ledbetter 2007; Steere 2011
1204,531,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,2,Elliptical,10,10,78.5,D,Ledbetter 2007; Steere 2011
1206,533,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,5,Rectangular,4.2,2.7,11.30000019,D,Ledbetter 2007; Steere 2011
1205,534,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,13,Rectangular,3.700000048,3.299999952,12.19999981,D,Ledbetter 2007; Steere 2011
1194,535,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,11,Rectangular,3.200000048,2.400000095,7.679999828,D,Ledbetter 2007; Steere 2011
1202,536,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,12,Rectangular,5.699999809,3.200000048,18.20000076,D,Ledbetter 2007; Steere 2011
1201,537,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,14,Rectangular,4.5,2.799999952,12.60000038,D,Ledbetter 2007; Steere 2011
1203,549,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,4.599999905,2.5,11.5,D,Ledbetter 2007; Steere 2011
1200,550,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,2,Elliptical,1.5,1.5,1.799999952,IO,Ledbetter 2007; Steere 2011
1199,551,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,3,Elliptical,10.3,10.3,83.30000305,D,Ledbetter 2007; Steere 2011
1196,552,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,4,Rectangular,5.699999809,3.400000095,19.39999962,D,Ledbetter 2007; Steere 2011
1195,553,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,7,Rectangular,3.299999952,2.299999952,7.599999905,D,Ledbetter 2007; Steere 2011
1193,554,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,8,Rectangular,3.200000048,2.400000095,7.699999809,D,Ledbetter 2007; Steere 2011
1192,555,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,9,Elliptical,8.6,8.6,58.09999847,D,Ledbetter 2007; Steere 2011
1197,556,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,10,Rectangular,3.599999905,2.900000095,10.39999962,D,Ledbetter 2007; Steere 2011
1198,557,2014_03_12,9-Ge-903,9-Ge-903,GA,Greene GA,09 EM/Miss,,Structure,1,Rectangular,3,2.299999952,6.900000095,D,Ledbetter 2007; Steere 2011
1207,312,2014_03_12,9-Wh-120,9-Wh-120,GA,White GA,09 EM/Miss,,Structure,1,Rectangular,7.5,7.2,52,D,Steere 2011; S. Webb personal communication to B. Steere 2007
1208,313,2014_03_12,9-Wh-120,9-Wh-120,GA,White GA,09 EM/Miss,,Structure,2,Rectangular,6.699999809,4.599999905,29,D,Steere 2011; S. Webb personal communication to B. Steere 2007
1209,105,2014_03_12,Alarka Farmstead,31-Sw-173,NC,Swain NC,11 PH/H,,Structure,Winter House,Rectangular,7,7,40,D,Shumate et al. 2005; Steere 2011
1210,106,2014_03_12,Alarka Farmstead,31-Sw-173,NC,Swain NC,11 PH/H,,Structure,Summer House,Rectangular,10,4.5,45,D,Shumate et al. 2005; Steere 2011
1211,695,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,1,Rectangular,5.5,4.900000095,27,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1212,696,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,2,Rectangular,4.300000191,4.300000191,18.5,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1213,697,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,3,Rectangular,4.599999905,4.599999905,21.20000076,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1214,698,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,4,Rectangular,4.300000191,4.300000191,18.5,D,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1215,699,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,1,Rectangular,10.10000038,8.5,85.90000153,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1216,700,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,2,Rectangular,6.599999905,6.400000095,42.20000076,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1217,701,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,3,Rectangular,15.19999981,12.19999981,185.3999939,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1218,702,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,4,Rectangular,7.599999905,7,53.20000076,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
1219,703,2014_03_12,Bessemer,1-Je-12,AL,Jefferson AL,09 EM/Miss,,Structure,5,Rectangular,19.5,6.400000095,124.8000031,ND,DeJarnette and Wimberly 1941; Steere 2011; Welch 1994
